product_id,productnaam,beschrijving,prijs,voorraad
101,Laptop Pro,Krachtige laptop voor professioneel gebruik,1200.00,50
102,Draadloze Muis,Ergonomische draadloze muis,75.50,150
103,Mechanisch Toetsenbord,Toetsenbord voor de veeleisende gebruiker,180.00,75
104,4K Monitor,Haarscherp beeld voor grafisch werk,450.00,40
105,USB-C Hub,Verbind al je apparaten,49.99,200
106,Laptop Gamer,High-end gaming laptop,1450.00,30
107,Webcam HD,Full HD webcam voor videocalls,49.99,120
108,Noise-Cancelling Koptelefoon,Geniet van je muziek zonder omgevingsgeluid,99.00,80
109,Gaming Muis,Hoge precisie gaming muis,89.90,110
110,Bluetooth Speaker,Draagbare speaker met diepe bas,35.00,250
111,Externe SSD 1TB,Snelle externe opslag,119.99,90
112,Laptop Stand,Ergonomische houder voor je laptop,29.50,180
113,Docking Station,One-cable solution voor je werkplek,220.00,60
114,Office Suite 2024,Productiviteitssoftware,250.00,300
115,Antivirus Pro,Beveiligingssoftware voor 3 apparaten,99.00,500
