Datum,Product,Leverancier,Inkoopprijs,Verkoopprijs,Aantal_Verkocht,Vestiging
2024-01-15,Laptop Pro,Compudeal,950.00,1200.00,1,Antwerpen
2024-01-16,Draadloze Muis,OfficeSupply,45.00,75.50,2,Gent
2024-01-18,4K Monitor,ScreenPerfect,300.00,450.00,1,Brussel
2024-01-20,Mechanisch Toetsenbord,GamersChoice,110.00,180.00,1,Antwerpen
2024-02-05,Laptop Gamer,Compudeal,1100.00,1450.00,1,Leuven
2024-02-08,USB-C Kabel,CableKing,10.00,25.00,3,Gent
2024-02-12,27" Monitor,ScreenPerfect,220.00,320.00,2,Brussel
2024-02-21,Webcam HD,OfficeSupply,30.00,49.99,1,Leuven
2024-03-04,Ultrabook,Compudeal,750.00,980.00,1,Antwerpen
2024-03-10,Ergonomisch Toetsenbord,GamersChoice,80.00,120.00,1,Gent
2024-03-15,Muis Mat,OfficeSupply,5.00,15.50,5,Brussel
2024-03-22,Curved Monitor,ScreenPerfect,550.00,780.00,1,Leuven
2024-04-01,Gaming Rig,Compudeal,1600.00,2100.00,1,Antwerpen
2024-04-05,Noise-Cancelling Koptelefoon,SoundBlast,60.00,99.00,1,Gent
2024-04-19,RGB Toetsenbord,GamersChoice,140.00,210.00,1,Brussel
2024-05-02,Office Suite 2024,SoftDistri,180.00,250.00,1,Online
2024-05-11,Bluetooth Speaker,SoundBlast,25.00,35.00,2,Hasselt
2024-05-23,Laptop Pro 16",Compudeal,1400.00,1800.00,1,Antwerpen
2024-06-01,Ultrawide Monitor,ScreenPerfect,450.00,650.00,2,Gent
2024-06-10,Stil Toetsenbord,OfficeSupply,65.00,95.00,1,Brussel
2024-06-15,HDMI Kabel 2m,CableKing,8.00,12.99,10,Leuven
2024-06-28,Antivirus Pro,SoftDistri,70.00,99.00,1,Online
2024-07-03,Laptop Air,Compudeal,900.00,1150.00,1,Hasselt
2024-07-14,Gaming Muis,GamersChoice,55.00,89.90,1,Antwerpen
2024-07-22,24" Monitor,ScreenPerfect,180.00,249.50,2,Gent
2024-08-05,TKL Toetsenbord,GamersChoice,100.00,150.00,1,Brussel
2024-08-12,Design Pro 2024,SoftDistri,320.00,450.00,1,Online
2024-08-21,USB Stick 128GB,CableKing,15.00,22.50,4,Leuven
2024-09-01,Business Laptop,Compudeal,1050.00,1350.00,1,Antwerpen
2024-09-05,Draagbare Monitor,ScreenPerfect,250.00,350.00,2,Hasselt
